SubmissionRestController deleteDataField,DELETE /form/submission/fields,API,
LicenceTypeRestController remove,DELETE /licence/type/{id},API,
SubmissionRestController remove,DELETE /form/submission/{id},API,
SubmissionRestController save,DELETE /form/submission,API,
SubmissionRestController search,DELETE /form/submission/search,API,
LicenseeRestController removeSector,DELETE /licensee/sector/delete/{licenseeSectorId},API,
LicenseeRestController remove,DELETE /licensee/{id},API,
LicenseeFormRestController remove,DELETE licensee/form/{id},API,
LicenseeFormRestController getAll,GET licensee/form/all,API,
LicenseeFormRestController findByLicensee,GET licensee/form/{licenseeId},API,
LicenseeFormRestController findById,GET licensee/form/{id},API,
LicenseeFormRestController findByForm,GET licensee/form/{formId}/formId/{formId},API,
LicenseeRestController getLicences,GET /licensee/licences/{id},API,
LicenseeRestController getForms,GET /licensee/forms/{id},API,
LicenseeRestController getFormSubmissions,GET /licensee/submissions/{id},API,
LicenseeRestController getReportConfigurations,GET /licensee/report/configs/{id},API,
LicenseeRestController getSectors,GET /licensee/sectors/{id},API,
LicenseeRestController getShareholders,GET /licensee/shareholders/{id},API,
LicenseeFormRestController create,POST licensee/form/,API,
LicenseeFormRestController updateLicensee,PATCH licensee/form/{id}/{licenseeId},API,
MenuSectionRestController save,POST /menu/section,API,
MenuSectionRestController search,POST /menu/section/search,API,
MenuSectionRestController getAll,GET /menu/section/all,API,
MenuSectionRestController getAllPaged,GET /menu/section/page/{pageNumber}/size/{pageSize},API,
MenuSectionRestController findById,GET /menu/section/id/{id},API,
MenuSectionRestController remove,DELETE /menu/section/id/{id},API,
MenuSectionRestController findByAuthorisationRoles,GET /menu/section/authorised,API,
ReportConfigRestController save,POST /report/config,API,
ReportConfigRestController search,POST /report/config/search,API,
ReportConfigRestController findById,GET /report/config/{id},API,
ReportConfigRestController remove,DELETE /report/config/{id},API,
ReportConfigRestController getAllPaged,GET /report/config/page/{pageNumber}/size/{pageSize},API,
ReportConfigRestController getAll,GET /report/config/all,API,
ShareholderRestController save,POST /shareholder,API,
ShareholderRestController search,POST /shareholder/search,API,
ShareholderRestController getAll,GET /shareholder/all,API,
ShareholderRestController getAllPaged,GET /shareholder/page/{pageNumber}/size/{pageSize},API,
ShareholderRestController findById,GET /shareholder/{id},API,
ShareholderRestController remove,DELETE /shareholder/{id},API,
SectorRestController save,POST /sector,API,
SectorRestController search,POST /sector/search,API,
SectorRestController findById,GET /sector/{id},API,
SectorRestController remove,DELETE /sector/{id},API,
SectorRestController getAll,GET /sector/all,API,
SectorRestController getAllPaged,GET /sector/page/{pageNumber}/size/{pageSize},API,
SectorRestController addLicensee,GET /sector/{sectorId}/add/licensee/{licenseeId},API,
AuthController getAccessTokenString,POST /auth/token_string,API,
AuthController signout,POST /auth/signout,API,
AuthController signin,POST /auth/signin,API,
AuthController getUserInfo,POST /auth/info,API,
AuthController getRoles,GET /auth/roles,API,
AuthController getRealmUrl,GET /auth/get-realm-url,API,
LicenseeSectorRestController findById,GET /licensee/sector/{id},API,
LicenseeSectorRestController remove,DELETE /licensee/sector/{id},API,
LicenseeSectorRestController getAll,GET /licensee/sector/all,API,
LicenseeRestController getDocuments,GET /licensee/documents/{id},API,
LicenseeRestController getReports,GET /licensee/reports/{id},API,
LicenseeSectorRestController findByLicensee,GET /licensee/sector/{licenseeId},API,
LicenseeSectorRestController findBySector,GET /licensee/sector/{sectorId}/sectorId/{sectorId},API,
Edit Authorisation Delete Button,/auth/edit-authorisation/{button:delete},BUTTON,
Edit Form Submission Submit Button,/form/submission/edit-form-submission/{button:submit},BUTTON,
Edit Form Submission Delete Button,/form/submission/edit-form-submission/{button:delete},BUTTON,
Edit Form Submission Return Button,/form/submission/edit-form-submission/{button:return},BUTTON,
Edit Form Submission Accept Button,/form/submission/edit-form-submission/{button:accept},BUTTON
